path,source_root,size_bytes,size_mb,decision_class,decision_reason
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/old/profiles_publications_crossref_updated 15.32.56.csv,shared_data_source,6444201,6.44,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/typescript/lib/_tsc.js,app_source,6213092,6.21,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/texture-compressor/bin/linux/PVRTexToolCLI,app_source,6154161,6.15,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2d.all_listed_publications_2019_journal_like_with_doi.csv,pipeline_source,5983723,5.98,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n155.json,shared_data_source,5925520,5.93,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/hf_xet/hf_xet.abi3.so,app_source,5836688,5.84,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/hf_xet/hf_xet.abi3.so,pipeline_source,5836688,5.84,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/hf_xet/hf_xet.abi3.so,pipeline_source,5836688,5.84,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dist/umd/lucide-react.js.map,app_source,5626034,5.63,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/Embeddings_flat/mpnet_abstracts_embeddings.csv,shared_data_source,5584860,5.58,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/googleapiclient/discovery_cache/documents/compute.alpha.json,pipeline_source,5581828,5.58,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/Embeddings_flat/mpnet_one_line_summary_embeddings.csv,shared_data_source,5554576,5.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/Embeddings_flat/mpnet_topics_embeddings.csv,shared_data_source,5537616,5.54,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dist/cjs/lucide-react.js.map,app_source,5522650,5.52,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n395.json,shared_data_source,5512402,5.51,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/selenium/webdriver/common/linux/selenium-manager,pipeline_source,5500736,5.5,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/selenium/webdriver/common/linux/selenium-manager,pipeline_source,5500736,5.5,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n226.json,shared_data_source,5444112,5.44,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_publications_crossref_appended.csv,shared_data_source,5367028,5.37,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n88.json,shared_data_source,5303080,5.3,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/scipy/optimize/_highspy/_core.cpython-313-darwin.so,app_source,5294776,5.29,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/scipy/optimize/_highspy/_core.cpython-313-darwin.so,pipeline_source,5294776,5.29,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/lxml/objectify.cpython-313-darwin.so,pipeline_source,5262192,5.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/lxml/objectify.cpython-313-darwin.so,pipeline_source,5262192,5.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n100.json,shared_data_source,5167086,5.17,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n258.json,shared_data_source,5166489,5.17,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/googleapiclient/discovery_cache/documents/compute.beta.json,pipeline_source,5063628,5.06,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/scipy/optimize/_highspy/_core.cpython-313-darwin.so,pipeline_source,4921880,4.92,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n206.json,shared_data_source,4755180,4.76,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n150.json,shared_data_source,4754052,4.75,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/3. All listed publications 2019 +.csv,pipeline_source,4578261,4.58,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2.all_listed_pubs_2019.csv,pipeline_source,4562416,4.56,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/LLM batches 1/batch_input_1.jsonl,shared_data_source,4527844,4.53,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/googleapiclient/discovery_cache/documents/compute.v1.json,pipeline_source,4425139,4.43,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n377.json,shared_data_source,4409651,4.41,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_crossref_cleaned.csv,pipeline_source,4347668,4.35,A,safe to commit if required
